aide,ident,annee,init,calib,valeur
garantie,CS_EGT_NIM,2019,23.81,23.81,23.81
garantie,CS_EGT_NIM,2020,23.81,23.81,23.81
garantie,CS_EGT_NIM,2021,23.81,23.81,23.81
garantie,CS_EGT_NIM,2022,23.81,23.81,23.81
garantie,CS_EGT_IM,2017,23.81,23.81,23.81
garantie,CS_EGT_IM,2018,23.81,23.81,23.81
garantie,CS_EGT_IM,2019,23.81,23.81,23.81
garantie,CS_EGT_IM,2020,23.81,23.81,23.81
garantie,CS_EGT_IM,2021,23.81,23.81,23.81
garantie,CS_EGT_IM,2022,23.81,23.81,23.81
garantie,CS_MG_NISM,2017,25.0,25.0,25.0
garantie,CS_MG_NISM,2018,25.0,25.0,25.0
garantie,CS_MG_NISM,2019,25.0,25.0,25.0
garantie,CS_MG_NISM,2020,25.0,25.0,25.0
garantie,CS_MG_NISM,2021,25.0,25.0,25.0
garantie,CS_MG_NISM,2022,25.0,25.0,25.0
garantie,CS_MG_NIM,2017,25.0,25.0,25.0
garantie,CS_MG_NIM,2018,25.0,25.0,25.0
garantie,CS_MG_NIM,2019,25.0,25.0,25.0
garantie,CS_MG_NIM,2020,25.0,25.0,25.0
garantie,CS_MG_NIM,2021,25.0,25.0,25.0
garantie,CS_MG_NIM,2022,25.0,25.0,25.0
garantie,CS_MG_IM,2017,25.0,25.0,25.0
garantie,CS_MG_IM,2018,25.0,25.0,25.0
garantie,CS_MG_IM,2019,25.0,25.0,25.0
garantie,CS_MG_IM,2020,25.0,25.0,25.0
garantie,CS_MG_IM,2021,25.0,25.0,25.0
garantie,CS_MG_IM,2022,25.0,25.0,25.0
garantie,IG,2017,0.0,0.0,0.0
garantie,IG,2018,0.0,0.0,0.0
garantie,IG,2019,0.0,0.0,0.0
garantie,IG,2020,0.0,0.0,0.0
garantie,IG,2021,0.0,0.0,0.0
garantie,IG,2022,0.0,0.0,0.0
garantie,IG_PLA,2017,0.0,0.0,0.0
garantie,IG_PLA,2018,0.0,0.0,0.0
garantie,IG_PLA,2019,0.0,0.0,0.0
garantie,IG_PLA,2020,0.0,0.0,0.0
garantie,IG_PLA,2021,0.0,0.0,0.0
garantie,IG_PLA,2022,0.0,0.0,0.0
garantie,IG_TUT,2017,0.0,0.0,0.0
garantie,IG_TUT,2018,0.0,0.0,0.0
garantie,IG_TUT,2019,0.0,0.0,0.0
garantie,IG_TUT,2020,0.0,0.0,0.0
garantie,IG_TUT,2021,0.0,0.0,0.0
garantie,IG_TUT,2022,0.0,0.0,0.0
garantie,JA,2017,0.0,0.0,0.0
garantie,JA,2018,0.0,0.0,0.0
garantie,JA,2019,0.0,0.0,0.0
garantie,JA,2020,0.0,0.0,0.0
garantie,JA,2021,0.0,0.0,0.0
